code,lat,lon,type,geometry,no2_value
ZAL,41.3172766522,2.1345007902,urban-centre,POINT (2.1345007902 41.3172766522),22.744535554131968
ES0010R,42.3191737364928,3.31582774471254,F – Fons,POINT (3.31582774471254 42.3191737364928),2.885102573224238
ES0014R,41.393887,0.7347215,F – Fons,POINT (0.7347215 41.393887),2.5372657085164505
ES0584A,41.482016279,2.188296656,urban-suburban,POINT (2.188296656 41.482016279),31.528800646427335
ES0691A,41.403716,2.204736,urban-centre,POINT (2.204736 41.403716),24.297368723428704
ES0692A,41.37076,2.114771,urban-centre,POINT (2.114771 41.37076),22.979811883459508
ES0971A,41.450745,1.975021,urban-suburban,POINT (1.975021 41.450745),28.09806224310041
ES1018A,41.556115398,2.007401267,urban-centre,POINT (2.007401267 41.556115398),29.484182367992556
ES1122A,41.193743,1.236904,R - Rural,POINT (1.236904 41.193743),8.740102858509747
ES1123A,41.155004,1.217734,urban-suburban,POINT (1.217734 41.155004),13.54050279329609
ES1124A,41.159532,1.239709,urban-suburban,POINT (1.239709 41.159532),13.628151746472357
ES1125A,41.730280261,1.825306423,LOCAL,POINT (1.825306423 41.730280261),17.391968060122124
ES1126A,41.475573452,1.923189624,urban-suburban,POINT (1.923189624 41.475573452),22.84928646014619
ES1135A,41.578396,1.623011,LOCAL,POINT (1.623011 41.578396),13.977304797742239
ES1148A,41.425620904,2.222244805,urban-centre,POINT (2.222244805 41.425620904),27.341783821156948
ES1208A,41.150778895,1.120171923,urban-suburban,POINT (1.120171923 41.150778895),15.892999733830184
ES1215A,40.706708761,0.581651482,urban-suburban,POINT (0.581651482 40.706708761),9.425954198473283
ES1225A,41.615794867,0.615725897,LOCAL,POINT (0.615725897 41.615794867),18.057801184990126
ES1231A,41.476769365,2.088977264,urban-centre,POINT (2.088977264 41.476769365),19.06109250490819
ES1262A,41.561264,2.101288,urban-centre,POINT (2.101288 41.561264),26.727115318019163
ES1275A,41.689049442,2.495746675,urban-suburban,POINT (2.495746675 41.689049442),19.99310899276444
ES1311A,41.958676874,3.212854412,R - Rural,POINT (3.212854412 41.958676874),3.0747457419433895
ES1312A,41.103677887,1.200765062,urban-suburban,POINT (1.200765062 41.103677887),14.717276874488244
ES1339A,41.219036461,1.721248774,urban-suburban,POINT (1.721248774 41.219036461),13.769072164948454
ES1347A,42.143260622,2.510206967,R - Rural,POINT (2.510206967 42.143260622),2.953855349671249
ES1348A,42.36839,1.776814,LOCAL,POINT (1.776814 42.36839),8.395850973751058
ES1396A,41.378802802,2.133098078,urban-centre,POINT (2.133098078 41.378802802),20.358338423946243
ES1397A,42.003359222,2.287072698,LOCAL,POINT (2.287072698 42.003359222),16.792455033870592
ES1438A,41.385366,2.15403,urban-centre,POINT (2.15403 41.385366),34.580633549316055
ES1453A,41.447350254,2.209511187,urban-centre,POINT (2.209511187 41.447350254),25.662546816479402
ES1480A,41.398762,2.153472,urban-centre,POINT (2.153472 41.398762),28.912079883097906
ES1551A,41.512675808,2.125383709,urban-centre,POINT (2.125383709 41.512675808),24.428303874517148
ES1642A,41.93501,2.239901,urban-suburban,POINT (2.239901 41.93501),15.183413296778616
ES1666A,41.117387934,1.241649688,urban-centre,POINT (1.241649688 41.117387934),19.717411331183786
ES1679A,41.386413934,2.187416735,urban-centre,POINT (2.187416735 41.386413934),27.12737533110676
ES1684A,41.492082863,2.042497085,urban-centre,POINT (2.042497085 41.492082863),17.60019455252918
ES1773A,41.20223184,1.672200024,urban-suburban,POINT (1.672200024 41.20223184),8.919423558897243
ES1778A,41.779343452,2.358018901,R - Rural,POINT (2.358018901 41.779343452),2.671636615811373
ES1812A,41.278381095,1.179916582,R - Rural,POINT (1.179916582 41.278381095),7.769009216589862
ES1814A,41.54924,2.212144,urban-suburban,POINT (2.212144 41.54924),30.421640488656195
ES1815A,41.346823038,1.686575492,urban-suburban,POINT (1.686575492 41.346823038),10.206276445698167
ES1816A,41.547159712,2.443253787,urban-centre,POINT (2.443253787 41.547159712),14.977454040929587
ES1817A,41.526705931,2.183795315,urban-suburban,POINT (2.183795315 41.526705931),26.09258361609307
ES1851A,42.097931,1.848338,LOCAL,POINT (1.848338 42.097931),11.004127966976265
ES1854A,41.00821168,0.831084709,R - Rural,POINT (0.831084709 41.00821168),2.3804948670702815
ES1855A,41.009505689,0.912875859,R - Rural,POINT (0.912875859 41.009505689),7.88202891898095
ES1856A,41.4260772,2.147992032,urban-centre,POINT (2.147992032 41.4260772),18.910683415927164
ES1891A,41.598666901,2.287117688,urban-centre,POINT (2.287117688 41.598666901),25.48883260419065
ES1899A,41.308402497,1.647339954,R - Rural,POINT (1.647339954 41.308402497),10.063023763058203
ES1903A,41.313475208,2.013824628,urban-suburban,POINT (2.013824628 41.313475208),18.599437033410844
ES1910A,41.303112534,1.991523957,urban-suburban,POINT (1.991523957 41.303112534),9.758301515677427
ES1923A,41.846711554,2.217443537,R - Rural,POINT (2.217443537 41.846711554),7.829979743416611
ES1929A,41.32149521,2.09772526,urban-suburban,POINT (2.09772526 41.32149521),24.969057104913677
ES1930A,40.902692904,0.809795431,R - Rural,POINT (0.809795431 40.902692904),3.734650419969242
ES1948A,40.939553197,0.831336974,R - Rural,POINT (0.831336974 40.939553197),2.349440664283243
ES1982A,42.051340687,0.729555647,R - Rural,POINT (0.729555647 42.051340687),1.3602038452629142
ES1992A,41.387273,2.115661,urban-centre,POINT (2.115661 41.387273),16.742174820310687
ES1999A,41.976385751,2.816547298,LOCAL,POINT (2.816547298 41.976385751),20.8338405356056
ES2011A,41.400770767,1.999634718,urban-suburban,POINT (1.999634718 41.400770767),20.638027512240615
ES2012A,41.415319291,1.990521216,urban-suburban,POINT (1.990521216 41.415319291),16.0339788936565
ES2017A,40.552819474,0.529982528,R - Rural,POINT (0.529982528 40.552819474),5.170401437986818
ES2034A,41.544104651,0.829933196,R - Rural,POINT (0.829933196 41.544104651),7.5958967571144935
ES2090A,41.418413,2.123899,urban-suburban,POINT (2.123899 41.418413),8.7517486964263
ES2109A,41.1022222222,1.14944444444,urban-suburban,POINT (1.14944444444 41.1022222222),14.216694772344013
